id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
9277,Ruslan Nurudinov,UZB,male,11/24/1991,1.83,105,weightlifting,1,0,0,1
9278,Ruslan Tsarev,KGZ,male,7/16/1991,1.7,66,wrestling,0,0,0,0
9279,Ruslan Zhaparov,KAZ,male,5/27/1996,1.98,80,taekwondo,0,0,0,0
9280,Ruslana Tsykhotska,UKR,female,3/23/1986,1.65,56,athletics,0,0,0,0
9281,Ruslans Nakonechnyi,LAT,male,4/21/1989,1.82,71,modern pentathlon,0,0,0,0
9282,Rustam Assakalov,UZB,male,7/13/1984,1.83,85,wrestling,0,0,0,0
9283,Rustam Djangabaev,UZB,male,8/25/1993,1.83,146,weightlifting,0,0,0,0
9284,Rustam Orujov,AZE,male,10/4/1991,1.8,73,judo,0,1,0,1
9285,Rustam Tulaganov,UZB,male,10/8/1991,1.86,74,boxing,0,0,1,1
9286,Ruta Meilutyte,LTU,female,3/19/1997,1.76,75,aquatics,0,0,0,0
9287,Rutendo Joan Nyahora,ZIM,female,11/11/1988,1.55,45,athletics,0,0,0,0
9288,Rutendo Makore,ZIM,female,9/30/1992,1.65,68,football,0,0,0,0
9289,Rutger van Schaardenburg,NED,male,10/8/1987,1.88,80,sailing,0,0,0,0
9290,Ruth Beitia,ESP,female,4/1/1979,1.91,72,athletics,1,0,0,1
9291,Ruth Jebet,BRN,female,11/17/1996,1.62,51,athletics,1,0,0,1
9292,Ruth Marie Christelle Gbagbi,CIV,female,2/7/1994,1.76,65,taekwondo,0,0,1,1
9293,Ruth Sophia Spelmeyer,GER,female,9/19/1990,1.73,59,athletics,0,0,0,0
9294,Ruth Winder,USA,female,7/9/1993,1.63,57,cycling,0,0,0,0
9295,Ruvimbo Mutyavaviri,ZIM,female,12/8/1986,1.75,65,football,0,0,0,0
9296,Ruy Fonseca,BRA,male,6/9/1973,1.81,76,equestrian,0,0,0,0
9297,Ruyin Tan,CHN,female,7/17/1994,1.65,59,football,0,0,0,0
9298,Ryad Keniche,ALG,male,4/30/1993,1.85,75,football,0,0,0,0
9299,Ryan Archibald,NZL,male,9/1/1980,1.86,78,hockey,0,0,0,0
9300,Ryan Bailie,AUS,male,7/15/1990,1.77,61,triathlon,0,0,0,0
9301,Ryan Broekhoff,AUS,male,8/23/1990,2.01,93,basketball,0,0,0,0
9302,Ryan Carlyle,USA,female,11/24/1989,1.68,65,rugby sevens,0,0,0,0
9303,Ryan Cochrane,CAN,male,10/29/1988,1.92,80,aquatics,0,0,0,0
9304,Ryan Cochrane,CAN,male,7/24/1983,1.78,78,canoe,0,0,0,0
9305,Ryan Crouser,USA,male,12/18/1992,2.01,124,athletics,1,0,0,1
9306,Ryan Fisher,AUS,male,4/5/1991,1.73,64,triathlon,0,0,0,0
9307,Ryan Fox,NZL,male,1/22/1987,1.79,98,golf,0,0,0,0
